follower_id,followed_id
A,UN
A,OO
A,PS
A,D
A,VB
A,HP
A,TT
A,WN
A,IP
A,RO
A,BZ
A,FF
A,GY
A,FQ
A,LA
A,KN
A,UP
A,MZ
A,AH
A,JZ
A,TB
A,IE
A,IM
A,YO
A,UO
A,AF
A,SO
A,EA
A,NL
A,CY
A,ZU
A,LQ
A,JW
A,HB
A,ZZ
A,FP
A,ZD
A,GO
A,FY
A,VS
A,CI
A,GJ
A,MX
A,KS
A,RN
A,HH
A,HT
A,RQ
A,NJ
A,ZG
A,EE
A,JX
A,BO
A,LX
A,ZP
A,HZ
A,JJ
A,JM
A,BH
A,RR
A,BP
A,TI
A,CF
A,UI
A,TF
A,ZM
A,SF
A,DW
A,QS
A,KP
A,JO
A,PF
A,CW
A,RW
A,PE
A,SC
A,BK
A,YT
A,OS
A,HG
A,L
A,GL
A,XY
A,NN
A,KA
A,TG
A,FT
A,AO
A,NG
A,PU
A,ZV
A,ZB
A,MC
A,GQ
A,ZH
A,QF
A,CL
A,GK
A,MH
A,CE
A,QP
A,DC
A,AW
A,YS
A,BX
A,AL
A,PX
A,MF
A,GC
A,OD
A,LG
A,AI
A,QQ
A,TE
A,SZ
A,RC
A,IF
A,NZ
A,DM
A,AC
A,MY
A,X
A,SQ
A,FN
A,RG
A,YA
A,EH
A,VT
A,ND
A,VH
A,LZ
A,ZT
A,VG
A,WS
A,IX
A,TR
A,Y
A,AE
A,MI
A,CC
A,CD
A,KX
A,W
A,FX
A,HV
A,GE
A,AM
A,EO
A,KZ
A,FC
A,ET
A,JU
A,CN
A,MD
A,RY
A,OR
A,JR
A,HI
A,JS
A,NY
A,R
A,LK
A,OK
A,ZF
A,CA
A,XA
A,JN
A,EU
A,WC
A,SD
A,DU
A,VE
A,XV
A,BC
A,TH
A,E
A,QZ
A,O
A,IL
A,H
A,KY
A,QT
A,LW
A,HN
A,PJ
A,ES
A,CO
A,MU
A,EK
A,RX
A,G
A,RS
A,DS
A,AR
A,ID
A,JC
A,VQ
A,UK
A,ZS
A,HK
A,FE
A,UL
A,BL
A,BJ
A,GB
A,XL
A,T
A,CH
A,WA
A,JK
A,AS
A,YY
A,OA
A,TC
A,RV
A,TD
A,DH
A,IQ
A,XC
A,WG
A,KI
A,KB
A,DY
A,EP
A,PG
A,EB
A,WF
A,QX
A,VR
A,CU
A,TN
A,MR
A,MJ
A,IZ
A,RU
A,TL
A,RH
A,KC
A,DD
A,JI
A,ON
A,AK
A,K
A,YG
A,EY
A,RP
A,F
A,OH
A,WE
A,LL
A,XJ
A,QI
A,HY
A,TK
A,MV
A,DE
A,QN
A,BV
A,FU
A,FZ
A,U
A,UR
A,EZ
A,NB
A,S
A,MP
A,EG
A,WV
A,AX
A,IG
A,EL
A,MT
A,TA
A,LC
A,ZN
A,DL
A,AT
A,AN
A,VD
A,IB
A,WB
A,DR
A,UB
A,PT
A,ZO
A,HO
A,YK
A,VX
A,YR
A,NW
A,XS
A,FJ
A,GZ
A,SN
A,XX
A,HD
A,VN
A,UA
A,JB
A,WM
A,PB
A,UM
A,TW
A,SS
A,ZC
A,BW
A,YF
A,TO
A,AB
A,MS
A,DI
A,Q
A,KM
A,PA
A,YD
A,QW
A,KF
A,ZK
A,LY
A,DQ
A,NR
A,PC
A,BU
A,N
A,RA
A,NT
A,GW
A,HX
A,OF
A,CX
A,AP
A,GN
A,OL
A,MM
A,TM
A,SM
A,OI
A,XG
A,UG
A,WD
A,JA
A,FA
A,LS
A,ZQ
A,OZ
A,DJ
A,SJ
A,BA
A,QY
A,QC
A,OW
A,SG
A,WH
A,GV
A,GG
A,LD
A,VI
A,JD
A,QE
A,QH
A,SE
A,SB
A,ZY
A,UF
A,UW
A,WU
A,P
A,FH
A,MK
A,FO
A,UQ
A,KH
A,DK
A,PD
A,XW
A,LT
A,VF
A,OV
A,LV
A,BG
A,SW
A,XQ
A,SV
A,YU
A,YB
A,VO
A,FM
A,B
A,ZI
A,KE
A,LF
A,JG
A,FD
A,EQ
A,PK
A,VA
A,PH
A,OQ
A,HR
A,BD
A,LE
A,HF
A,FR
A,UU
A,FK
A,OG
A,DO
A,EX
A,CG
A,DF
A,DX
A,PO
A,VK
A,MW
A,TY
A,VU
A,VM
A,RF
A,WX
A,BI
A,KO
A,YJ
A,IN
A,KJ
A,BS
A,HL
A,HW
A,FV
A,RM
A,BB
A,WO
A,GI
A,IT
A,LP
A,JF
A,QD
A,NU
A,NV
A,XH
A,LO
A,IA
A,SI
A,WY
A,SP
A,PN
A,OX
A,YL
A,EN
A,AG
A,UD
A,QJ
A,NX
A,OP
A,ML
A,ST
A,BY
A,PI
B,CO
B,MN
B,IS
B,UA
B,TO
B,OQ
B,ER
B,LW
B,TW
B,HY
B,XB
B,OF
B,MQ
B,TA
B,HQ
B,EY
B,GL
B,CG
B,DK
B,CE
B,PR
B,NP
B,ME
B,VD
B,DT
B,NA
B,YH
B,BW
B,QO
B,XF
B,VQ
B,UQ
B,VP
B,HU
B,GM
B,R
B,VF
B,ZU
B,JU
B,BD
B,PC
B,LX
B,BB
B,PS
B,WU
B,YI
B,AO
B,DI
B,VE
B,EC
B,LG
B,RL
B,HW
B,PP
B,GT
B,UR
B,YL
B,FT
B,PA
B,HV
B,YN
B,RF
B,AN
B,QJ
B,HR
B,EL
B,QX
B,EW
B,WH
B,CA
B,ZQ
B,YG
B,SD
B,EU
B,UW
B,VI
B,ZD
B,FR
B,UB
B,KJ
B,XP
B,XY
B,GP
B,DS
B,ZV
B,LY
B,IR
B,BY
B,JN
B,RA
B,XX
B,VO
B,CZ
B,TQ
B,QI
B,IG
B,XO
B,MD
B,ZS
B,RU
B,IN
B,ZC
B,DU
B,AD
B,YP
B,CI
B,AI
B,NY
B,WZ
B,NM
B,RN
B,SO
B,N
B,SS
B,NH
B,PF
B,E
B,XE
B,AQ
B,RX
